image_id,file_name,category,bbox
0,0.jpg,0,"[207.0, 110.0, 46.349998474121094, 37.5]"
1,1.jpg,0,"[16.0, 15.0, 259.1600036621094, 142.1699981689453]"
2,2.jpg,0,"[103.0, 168.0, 171.0, 166.0]"
3,3.jpg,0,"[161.0, 80.0, 183.0, 55.0]"
3,3.jpg,0,"[297.0, 193.0, 173.0, 72.0]"
4,4.jpg,0,"[73.0, 210.0, 1444.280029296875, 600.0]"
5,5.jpg,0,"[303.0, 181.0, 24.0, 65.0]"
6,6.jpg,0,"[197.0, 45.0, 135.0, 188.0]"
7,7.jpg,0,"[47.0, 18.0, 570.0, 247.0]"
8,8.jpg,0,"[382.0, 142.0, 38.0, 23.0]"
9,9.jpg,0,"[347.0, 410.0, 91.87999725341797, 81.5]"
10,10.jpg,0,"[0.0, 17.0, 499.0, 340.0]"
11,11.jpg,0,"[128.0, 777.0, 862.739990234375, 556.3300170898438]"
12,12.jpg,0,"[8.0, 86.0, 300.0, 270.0]"
13,13.jpg,0,"[218.0, 222.0, 584.4099731445312, 166.72300720214844]"
14,14.jpg,0,"[377.0, 149.0, 48.0, 19.0]"
15,15.jpg,0,"[32.0, 127.0, 763.0, 255.0]"
16,16.jpg,0,"[37.0, 30.0, 56.0, 228.0]"
16,16.jpg,0,"[142.0, 113.0, 137.0, 169.0]"
17,17.jpg,0,"[12.0, 145.0, 275.0, 230.0]"
18,18.jpg,0,"[418.0, 176.0, 51.040000915527344, 64.22000122070312]"
19,19.jpg,0,"[8.0, 102.0, 302.0, 259.0]"
20,20.jpg,0,"[118.0, 128.0, 1337.68994140625, 825.0]"
21,21.jpg,0,"[479.0, 307.0, 272.9800109863281, 173.3300018310547]"
22,22.jpg,0,"[6.0, 126.0, 407.0799865722656, 162.77999877929688]"
23,23.jpg,0,"[31.0, 126.0, 257.0, 194.0]"
24,24.jpg,0,"[214.0, 133.0, 24.0, 32.0]"
25,25.jpg,0,"[509.0, 146.0, 119.0, 95.0]"
26,26.jpg,0,"[5.0, 15.0, 628.0, 165.0]"
27,27.jpg,0,"[6.0, 23.0, 493.0, 352.0]"
28,28.jpg,0,"[174.0, 290.0, 51.0, 59.0]"
29,29.jpg,0,"[248.0, 168.0, 111.0, 180.0]"
30,30.jpg,0,"[23.0, 59.0, 393.0199890136719, 332.7799987792969]"
